population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Toute la population,6,Incidence,61,Moldova,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,48.20418160715,54.28775484415,42.63065233231
1,Toute la population,6,Incidence,47,République tchèque,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0001965974142569,0.0002219238902023,0.0001740136112909
1,Toute la population,6,Incidence,47,République tchèque,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,67.58911798926,75.05239298453,59.81195216969
1,Toute la population,6,Incidence,86,Italie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0002324647601187,0.0002649097648648,0.000204091707507
1,Toute la population,6,Incidence,86,Italie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,97.15971101951,109.08692235524,86.02820049094
1,Toute la population,6,Incidence,171,République démocratique du Congo,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,5.22092488653e-05,8.58109511542e-05,2.9729695823e-05
1,Toute la population,6,Incidence,171,République démocratique du Congo,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,28.841522977209998,47.82734981426,16.36003667316
1,Toute la population,6,Incidence,33,Arménie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0001904881060839,0.0002162373771511,0.0001673919506625
1,Toute la population,6,Incidence,33,Arménie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,66.52244297113,75.38485798658,58.41001387467001
1,Toute la population,6,Incidence,206,La Gambie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,3.92503016533e-05,5.76355281196e-05,2.72751225267e-05
1,Toute la population,6,Incidence,206,La Gambie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,18.12313965031,26.06159022812,12.757792605559999
1,Toute la population,6,Incidence,75,Autriche,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0001845082316546,0.0002150253264052,0.0001584144229838
1,Toute la population,6,Incidence,75,Autriche,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,85.32770278536,97.61456686995,73.85341915273
1,Toute la population,6,Incidence,125,Colombie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,7.48646603147e-05,8.56619132093e-05,6.57837258611e-05
1,Toute la population,6,Incidence,125,Colombie,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,35.381677532750004,40.18684625775,31.605513239369998
1,Toute la population,6,Incidence,22,Fidji,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0001274590393458,0.0001587595187613,0.0001019950215273
1,Toute la population,6,Incidence,22,Fidji,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,57.43913698456001,70.1375851178,46.12486168811
1,Toute la population,6,Incidence,156,Émirats Arabes Unis,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,0.0001363492738519,0.0001891479148981,9.8759864036e-05
1,Toute la population,6,Incidence,156,Émirats Arabes Unis,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,51.405589052219995,70.09192617999001,38.23477605019
1,Toute la population,6,Incidence,128,Guatemala,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,4.23690786641e-05,4.83688578482e-05,3.6839875544e-05
1,Toute la population,6,Incidence,128,Guatemala,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,18.44829288879,20.92068082238,16.10690581089
1,Toute la population,6,Incidence,194,Lesotho,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,3.61291109939e-05,5.35169704917e-05,2.36403173154e-05
1,Toute la population,6,Incidence,194,Lesotho,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,18.36924116294,27.30944134587,12.43748179102
1,Toute la population,6,Incidence,111,République dominicaine,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,8.33340558451e-05,0.0001044498959692,6.4772784845e-05
1,Toute la population,6,Incidence,111,République dominicaine,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,34.31159035383,43.33598403933,26.57313067011
1,Toute la population,6,Incidence,98,Chili,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,7.37698170467e-05,8.39406042855e-05,6.552997258e-05
1,Toute la population,6,Incidence,98,Chili,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,3,Taux,2010,37.579833082309996,42.4078765648,34.00703976977
1,Toute la population,6,Incidence,20,Viêt Nam,2,Femme,27,Normalisé selon l'âge,429,Cancer du sein,2,%,2010,6.61822253159e-05,8.37944445942e-05,4.90145605142e-05
